DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por UF de notificação e Ano 1º Sintoma(s)
Período:2014-2019
"UF de notificação";"Em Branco/ign";"<1975";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"24 Rio Grande do Norte";8;148;12;8;7;5;6;11;10;12;9;11;7;14;7;15;11;7;3;10;11;13;10;4;14;11;5;5;10;4;11;3;8;8;5;5;3;22;11;11;79;11570;23015;56792;7463;23724;32036;155174
"25 Paraíba";1;103;4;9;6;8;5;4;4;5;6;4;6;10;4;10;2;6;8;5;10;6;3;10;9;7;4;4;13;9;7;8;6;13;10;5;9;21;14;4;69;5668;23270;35711;3969;10836;18687;98592
"26 Pernambuco";15;161;11;8;11;16;7;6;10;16;10;9;6;15;14;11;19;6;8;13;16;13;13;22;12;7;10;7;14;11;7;14;17;10;6;14;11;17;29;25;114;10626;112981;60798;7897;11245;38666;242974
"27 Alagoas";3;105;6;8;7;15;6;7;8;10;7;5;8;8;5;6;8;6;7;3;5;7;7;10;10;10;5;10;8;11;6;6;12;5;6;5;3;12;13;9;196;13221;28389;18083;2920;2248;22215;87670
"28 Sergipe";1;25;-;-;-;1;1;2;1;1;2;1;1;3;1;2;1;1;-;2;2;1;-;3;4;2;-;1;2;1;1;-;2;4;1;1;1;1;2;3;13;2300;9298;3490;618;233;6320;22350
"29 Bahia";4;290;17;15;10;16;14;19;17;27;18;22;20;21;10;12;21;21;16;17;22;23;25;17;29;19;19;9;27;12;13;20;18;13;17;11;21;60;30;26;145;13958;56222;66835;9821;9808;67509;225336
"31 Minas Gerais";31;694;47;36;36;32;40;41;46;42;49;52;32;52;46;47;52;44;53;51;53;50;56;71;38;63;46;40;67;48;30;27;28;47;29;21;27;146;64;45;485;58249;195596;525714;26139;30294;481504;1320500
"32 Espírito Santo";3;80;6;4;2;4;1;1;3;2;8;6;5;1;2;2;4;3;2;6;10;4;4;5;10;4;3;5;6;1;3;3;3;3;4;4;4;8;10;6;436;18839;36442;42253;6836;10636;64554;180241
"33 Rio de Janeiro";6;253;13;10;8;14;18;16;18;17;19;13;7;16;10;14;19;9;19;19;17;19;17;15;18;7;8;12;10;12;8;11;8;16;9;7;8;26;16;12;313;7757;75432;86097;10898;14960;31774;228005
"35 São Paulo";30;868;35;41;28;49;37;54;41;50;44;43;41;44;41;44;44;45;41;44;41;56;51;44;51;32;28;22;73;31;37;36;58;28;16;22;34;89;74;54;436;228186;749582;200285;9463;19735;443138;1653366
"41 Paraná";3;107;3;4;3;3;5;4;6;4;6;4;8;6;7;6;5;2;2;10;9;10;2;8;6;12;3;3;4;3;7;8;3;5;3;1;3;9;9;9;159;22750;46129;62472;2208;1449;45842;181324
"42 Santa Catarina";-;9;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;1;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;5;-;-;2;143;4555;5114;182;190;2221;12429
"43 Rio Grande do Sul";-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;3;154;1740;3178;172;132;1625;7013
"50 Mato Grosso do Sul";-;75;8;4;5;7;6;4;5;2;8;4;5;4;7;7;5;3;5;7;6;7;4;7;2;8;6;5;7;10;6;6;10;11;5;4;6;21;14;7;67;3400;32785;46171;2377;5645;55230;145998
"51 Mato Grosso";3;69;3;6;-;1;3;6;5;4;7;7;6;4;5;1;4;5;5;6;3;3;4;9;4;2;2;4;6;1;3;2;6;9;3;2;4;14;10;6;168;7122;22445;20411;9320;7261;11094;78068
"52 Goiás";9;546;31;37;43;36;37;31;40;40;39;44;39;59;41;34;58;37;33;50;36;44;33;47;54;45;36;31;49;24;19;19;29;20;17;19;26;84;53;47;939;92713;169297;128389;63942;92092;120057;669445
"53 Distrito Federal";-;105;4;9;4;7;7;10;4;12;5;7;6;5;6;3;6;4;3;7;3;10;8;7;5;9;7;3;5;6;5;5;7;7;6;7;11;11;5;5;510;13168;10416;19259;4222;2590;39146;89657
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;13
"Total";123;3996;216;219;191;241;208;245;248;282;266;256;222;293;234;243;301;238;243;285;276;293;277;310;307;268;204;185;347;211;183;188;236;248;160;158;194;595;406;302;4752;591504;1709073;1497855;241848;269289;1547852;5876071
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de indivíduos residentes no Brasil, inclusive os casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo PNCD (Programa Nacional de Controle da Dengue) em sua série histórica, que para tal, realiza
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 27/01/2020.
 *Data da publicação dos dados 08/2019.
 
